,accuracy,precision,recall,f1,auc_roc,train_time,model
CAAC-SPSFT,0.8771929824561403,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9828042328042328,0.812182,<src.models.caac_model.CAACModelWrapper object at 0x31248dfc0>
LogisticRegression,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9894179894179894,0.169226,
RandomForest,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9808201058201058,0.080184,
SVM,0.9122807017543859,0.918918918918919,0.9444444444444444,0.9315068493150684,0.9669312169312169,0.006321,
XGBoost,0.9298245614035088,0.9210526315789473,0.9722222222222222,0.9459459459459459,0.9722222222222223,0.183624,
MLP,0.8771929824561403,0.9142857142857143,0.8888888888888888,0.9014084507042254,0.8862433862433863,0.133447,
