,accuracy,precision,recall,f1,auc_roc,train_time,model
CAAC-SPSFT,0.813,0.6203703703703703,0.5606694560669456,0.589010989010989,0.8727395686142986,3.660083,<src.models.caac_model.CAACModelWrapper object at 0x312617e80>
LogisticRegression,0.831,0.6842105263157895,0.5439330543933054,0.6060606060606061,0.9024021464820019,0.122792,
RandomForest,0.842,0.697560975609756,0.5983263598326359,0.6441441441441441,0.8956778957438737,0.41955,
SVM,0.836,0.711864406779661,0.5271966527196653,0.6057692307692307,0.8889041615579589,5.1506,
XGBoost,0.858,0.7365853658536585,0.6317991631799164,0.6801801801801802,0.9189681051688211,0.039389,
MLP,0.828,0.675392670157068,0.5397489539748954,0.6,0.9019512972910562,0.816052,
