,accuracy,precision,recall,f1,auc_roc,train_time,model,final_epoch,best_epoch,early_stopped
CAAC-SPSFT,0.8771929824561403,0.8372093023255814,1.0,0.9113924050632911,0.9537037037037037,0.159932,<src.models.caac_model.CAACModelWrapper object at 0x30c6e3f10>,14,4,True
LogisticRegression,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9894179894179894,0.274767,,,,
RandomForest,0.9298245614035088,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9808201058201058,0.079852,,,,
SVM,0.9122807017543859,0.918918918918919,0.9444444444444444,0.9315068493150684,0.9669312169312169,0.006209,,,,
XGBoost,0.9298245614035088,0.9210526315789473,0.9722222222222222,0.9459459459459459,0.9722222222222223,0.183924,,,,
MLP,0.9298245614035088,0.9,1.0,0.9473684210526315,0.9735449735449735,0.081273,,,,
