,accuracy,precision,recall,f1,auc_roc,train_time,model,final_epoch,best_epoch,early_stopped
CAAC-SPSFT,0.818,0.6590909090909091,0.48739495798319327,0.5603864734299517,0.8570436048435123,1.827337,<src.models.caac_model.CAACModelWrapper object at 0x30ed17f70>,21,11,True
LogisticRegression,0.826,0.7424242424242424,0.4117647058823529,0.5297297297297298,0.8655793025871766,0.008704,,,,
RandomForest,0.824,0.6741573033707865,0.5042016806722689,0.5769230769230769,0.8587529499988971,0.221318,,,,
SVM,0.826,0.82,0.3445378151260504,0.48520710059171596,0.8354396876860981,0.667399,,,,
XGBoost,0.832,0.7011494252873564,0.5126050420168067,0.5922330097087378,0.8755486446547123,0.019622,,,,
MLP,0.82,0.7843137254901961,0.33613445378151263,0.47058823529411764,0.8532940735349257,0.294151,,,,
