,accuracy,precision,recall,f1,auc_roc,train_time,model,final_epoch,best_epoch,early_stopped
CAAC-SPSFT,0.9333333333333333,0.9,1.0,0.9473684210526315,0.8333333333333334,0.058934,<src.models.caac_model.CAACModelWrapper object at 0x17462fdf0>,18,8,True
LogisticRegression,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.001735,,,,
RandomForest,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9814814814814815,0.047308,,,,
SVM,1.0,1.0,1.0,1.0,1.0,0.00086,,,,
XGBoost,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8703703703703705,0.014352,,,,
MLP,0.9333333333333333,1.0,0.8888888888888888,0.9411764705882353,1.0,0.007577,,,,
