,accuracy,precision,recall,f1,auc_roc,train_time,model,final_epoch,best_epoch,early_stopped
CAAC-SPSFT,0.808,0.7297297297297297,0.5510204081632653,0.627906976744186,0.8686477423830722,1.923097,<src.models.caac_model.CAACModelWrapper object at 0x30e8b7130>,21,11,True
LogisticRegression,0.746,0.7631578947368421,0.19727891156462585,0.31351351351351353,0.7484920313734559,0.002611,,,,
RandomForest,0.81,0.7166666666666667,0.5850340136054422,0.6441947565543071,0.8620859108515927,0.254616,,,,
SVM,0.824,0.8314606741573034,0.5034013605442177,0.6271186440677966,0.8496078318012757,0.691828,,,,
XGBoost,0.838,0.775,0.6326530612244898,0.6966292134831461,0.8800755429650613,0.023806,,,,
MLP,0.812,0.7523809523809524,0.5374149659863946,0.626984126984127,0.8590699735985046,0.443393,,,,
