,accuracy,precision,recall,f1,auc_roc,train_time,model,final_epoch,best_epoch,early_stopped
CAAC-SPSFT,0.8771929824561403,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9381313131313131,0.482264,<src.models.caac_model.CAACModelWrapper object at 0x30e330340>,30,20,True
LogisticRegression,0.8771929824561403,0.90625,0.8787878787878788,0.8923076923076924,0.9280303030303031,0.252234,,,,
RandomForest,0.9473684210526315,0.96875,0.9393939393939394,0.9538461538461539,0.9684343434343435,0.090376,,,,
SVM,0.8421052631578947,0.8157894736842105,0.9393939393939394,0.8732394366197183,0.9406565656565656,0.008378,,,,
XGBoost,0.9122807017543859,0.9375,0.9090909090909091,0.9230769230769231,0.9608585858585859,0.174194,,,,
MLP,0.8596491228070176,0.8571428571428571,0.9090909090909091,0.8823529411764706,0.8914141414141414,0.117947,,,,
