,accuracy,precision,recall,f1,auc,train_time
CAAC,0.935,0.9714285714285714,0.9107142857142857,0.9400921658986175,0.9669237012987013,0.49782490730285645
LogisticRegression,0.88,0.9150943396226415,0.8660714285714286,0.8899082568807339,0.9179180194805194,0.0010840892791748047
RandomForest,0.84,0.8921568627450981,0.8125,0.8504672897196262,0.9133015422077922,0.09036588668823242
SVM,0.92,0.9705882352941176,0.8839285714285714,0.9252336448598131,0.9878246753246753,0.01321101188659668
MLP,0.895,0.9504950495049505,0.8571428571428571,0.9014084507042254,0.940239448051948,0.4936089515686035
