,accuracy,precision,recall,f1,auc,train_time
CAAC,0.8,0.8372093023255814,0.7346938775510204,0.782608695652174,0.914265706282513,0.5597751140594482
LogisticRegression,0.565,0.9230769230769231,0.12244897959183673,0.21621621621621623,0.4485794317727091,0.0008780956268310547
RandomForest,0.785,0.7669902912621359,0.8061224489795918,0.7860696517412935,0.8716986794717887,0.11678576469421387
SVM,0.835,0.9012345679012346,0.7448979591836735,0.8156424581005587,0.9159663865546218,0.018240928649902344
MLP,0.695,0.7936507936507936,0.5102040816326531,0.6211180124223602,0.7663065226090436,0.9008498191833496
