,accuracy,precision,recall,f1,auc,train_time
CAAC,0.98,0.9904761904761905,0.9719626168224299,0.9811320754716981,0.9988945834589489,0.4213581085205078
LogisticRegression,0.995,1.0,0.9906542056074766,0.9953051643192489,0.9998995075871772,0.0053522586822509766
RandomForest,0.87,0.900990099009901,0.8504672897196262,0.875,0.9424680936589288,0.09209609031677246
SVM,0.96,0.9714285714285714,0.9532710280373832,0.9622641509433962,0.9942719324690986,0.013190984725952148
MLP,0.99,1.0,0.9813084112149533,0.9905660377358491,0.9996985227615315,1.16056489944458
