experiment,data_type,outlier_ratio,caac_accuracy,caac_f1,lr_accuracy,lr_f1,rf_accuracy,rf_f1,svm_accuracy,svm_f1,caac_train_time,lr_train_time,rf_train_time,svm_train_time
linear_outlier0.0,linear,0.0,0.99,0.9907407407407407,0.995,0.9953051643192489,0.87,0.875,0.96,0.9622641509433962,0.9736688137054443,0.005361318588256836,0.22295212745666504,0.03246045112609863
linear_outlier0.1,linear,0.1,0.915,0.9223744292237442,0.88,0.8899082568807339,0.835,0.847926267281106,0.92,0.9252336448598131,2.120684862136841,0.0026633739471435547,0.24307823181152344,0.03321552276611328
nonlinear_outlier0.0,nonlinear,0.0,0.91,0.9032258064516129,0.59,0.21153846153846154,0.79,0.7789473684210526,0.945,0.9385474860335196,1.6122989654541016,0.0029151439666748047,0.31663036346435547,0.035974740982055664
nonlinear_outlier0.1,nonlinear,0.1,0.855,0.8481675392670157,0.565,0.21621621621621623,0.78,0.78,0.835,0.8156424581005587,1.354557991027832,0.0028390884399414062,0.29146289825439453,0.04665422439575195
