,accuracy,precision,recall,f1,auc,train_time
CAAC,0.915,0.8584905660377359,0.978494623655914,0.914572864321608,0.9879409104612602,0.4480259418487549
LogisticRegression,0.59,1.0,0.11827956989247312,0.21153846153846154,0.5240679328710681,0.0009779930114746094
RandomForest,0.79,0.7628865979381443,0.7956989247311828,0.7789473684210526,0.8907647472615817,0.12814903259277344
SVM,0.945,0.9767441860465116,0.9032258064516129,0.9385474860335196,0.9949753793588584,0.014450788497924805
MLP,0.905,0.9743589743589743,0.8172043010752689,0.8888888888888888,0.9770877298763944,0.6110191345214844
